Date,Open,High,Low,Close
1-October-2025,35697.02,36035.45,35693.04,36014.32
3-October-2025,35976.43,36179.77,35934.06,36164.94
6-October-2025,36167.34,36386.66,36132.47,36376.26
7-October-2025,36416.58,36539.07,36385.68,36437.08
8-October-2025,36446.60,36519.32,36256.99,36278.00
9-October-2025,36337.60,36508.75,36276.42,36486.65
10-October-2025,36473.02,36687.23,36460.44,36630.27
13-October-2025,36450.19,36590.37,36417.66,36560.05
14-October-2025,36616.41,36676.70,36294.08,36381.72
15-October-2025,36453.27,36724.99,36433.82,36693.62
16-October-2025,36779.74,37026.27,36769.05,36984.53
17-October-2025,36952.60,37165.75,36911.35,37039.14
20-October-2025,37166.36,37298.07,37135.50,37223.40
21-October-2025,37299.37,37382.78,37236.64,37286.13
23-October-2025,37492.95,37550.68,37240.27,37285.19
24-October-2025,37337.15,37353.46,37074.68,37171.91
27-October-2025,37229.67,37444.68,37229.67,37421.12
28-October-2025,37402.95,37519.31,37234.07,37380.76
29-October-2025,37411.23,37625.73,37394.24,37598.65
30-October-2025,37569.45,37583.74,37363.77,37420.19
31-October-2025,37416.26,37536.21,37195.08,37214.04
3-November-2025,37218.48,37404.02,37182.36,37361.96
4-November-2025,37373.53,37386.08,37129.66,37147.34
6-November-2025,37153.43,37216.46,36878.97,36900.24
7-November-2025,36811.63,36973.07,36555.46,36900.76
10-November-2025,36911.14,37116.56,36911.10,37024.12
11-November-2025,37096.25,37172.33,36835.21,37157.16
12-November-2025,37289.31,37443.90,37276.60,37385.63
13-November-2025,37434.18,37538.84,37321.97,37354.83
14-November-2025,37245.35,37412.84,37197.31,37369.13
17-November-2025,37440.95,37583.21,37426.62,37570.78
18-November-2025,37602.51,37606.26,37330.49,37360.86
19-November-2025,37348.47,37511.82,37277.56,37485.82
20-November-2025,37610.05,37679.57,37501.45,37596.71
21-November-2025,37502.72,37535.33,37299.07,37312.99
24-November-2025,37336.76,37383.39,37087.59,37140.83
25-November-2025,37172.80,37245.09,37079.95,37102.42
26-November-2025,37115.01,37583.22,37107.85,37569.64
27-November-2025,37638.74,37685.29,37451.51,37554.39
28-November-2025,37574.87,37609.20,37506.58,37535.84
1-December-2025,37660.67,37691.42,37449.44,37524.59
2-December-2025,37450.26,37532.97,37316.21,37370.65
3-December-2025,37376.93,37410.36,37093.48,37210.20
4-December-2025,37188.37,37374.16,37159.25,37250.59
5-December-2025,37212.91,37415.47,37146.55,37394.44
8-December-2025,37344.62,37384.21,36815.11,36907.63
9-December-2025,36776.61,36958.24,36510.91,36899.81
10-December-2025,36902.22,37083.70,36712.82,36743.25
11-December-2025,36766.44,36980.72,36650.56,36963.10
12-December-2025,37060.78,37250.13,37055.61,37228.82
15-December-2025,37118.83,37248.40,37029.21,37232.38
16-December-2025,37162.91,37164.89,36946.63,36986.10
17-December-2025,37024.35,37087.10,36803.02,36870.70
18-December-2025,36859.77,36952.57,36662.64,36853.50
19-December-2025,36928.66,37156.21,36928.56,37143.96
22-December-2025,37240.92,37447.55,37228.31,37430.94
23-December-2025,37492.24,37525.54,37366.07,37471.84
24-December-2025,37490.86,37575.08,37384.19,37408.07
26-December-2025,37358.33,37460.85,37256.18,37294.67
29-December-2025,37301.85,37368.99,37108.71,37140.23
30-December-2025,37097.48,37187.35,37020.94,37135.83
31-December-2025,37184.74,37520.22,37182.52,37443.41
1-January-2026,37486.31,37528.80,37385.84,37497.10
2-January-2026,37539.53,37815.41,37495.25,37799.57
5-January-2026,37789.92,37874.46,37646.18,37730.95
6-January-2026,37723.24,37777.16,37553.76,37657.70
7-January-2026,37555.46,37718.35,37552.47,37669.63
8-January-2026,37613.53,37656.06,37100.79,37137.33
9-January-2026,37058.30,37234.83,36714.81,36807.62
12-January-2026,36744.75,36899.99,36379.67,36864.27
13-January-2026,36954.42,37042.96,36588.63,36806.21
14-January-2026,36711.66,36938.37,36684.62,36805.06
16-January-2026,36863.78,37092.59,36787.07,36829.93
19-January-2026,36749.36,36760.45,36581.77,36650.97
20-January-2026,36628.17,36639.86,35913.17,35984.65
21-January-2026,35819.88,36052.28,35438.27,35815.26
22-January-2026,36041.02,36298.05,35899.62,36088.66
23-January-2026,36141.46,36180.52,35572.03,35609.90
27-January-2026,35637.56,35880.54,35385.48,35786.84
28-January-2026,35837.97,36217.57,35836.71,36188.16
29-January-2026,36236.33,36305.14,35937.07,36266.59
30-January-2026,36040.25,36225.02,35933.45,36185.03
1-February-2026,36157.88,36317.15,35061.88,35462.81
2-February-2026,35426.33,35858.16,35150.45,35814.09
3-February-2026,37250.12,37473.63,36624.79,36755.96
4-February-2026,36659.88,36931.60,36498.43,36890.21
5-February-2026,36845.78,36851.57,36588.87,36695.11
6-February-2026,36624.80,36751.08,36388.84,36730.20
9-February-2026,36951.46,37126.89,36889.08,37113.23
10-February-2026,37208.19,37278.36,37117.34,37207.34
11-February-2026,37272.29,37303.93,37143.44,37256.72
12-February-2026,37199.68,37204.79,36951.43,37049.40
13-February-2026,36724.30,36748.98,36484.73,36532.48
16-February-2026,36426.51,36810.22,36340.37,36787.89
17-February-2026,36746.75,36936.37,36680.72,36904.38
18-February-2026,36933.53,37081.54,36824.71,37062.35
19-February-2026,37142.07,37148.24,36434.61,36523.88
20-February-2026,36456.94,36787.88,36408.36,36674.32
23-February-2026,36756.18,36946.39,36682.69,36817.86
24-February-2026,36704.62,36710.28,36318.27,36530.09
25-February-2026,36629.39,36835.50,36565.41,36679.75
26-February-2026,36740.97,36837.67,36587.49,36748.49
27-February-2026,36716.12,36723.29,36273.15,36322.56
2-March-2026,34697.30,36038.18,34697.30,35812.02
4-March-2026,35119.26,35298.61,34944.70,35125.64
5-March-2026,35287.66,35672.78,35215.32,35579.03
6-March-2026,35464.12,35576.40,35198.97,35232.05
9-March-2026,34515.94,34607.51,34083.36,34557.39
10-March-2026,34920.69,35065.25,34697.98,35005.20
11-March-2026,35046.38,35153.72,34487.09,34529.78
12-March-2026,34341.18,34554.78,34003.98,34300.49
13-March-2026,34093.37,34116.86,33454.69,33516.43
16-March-2026,33420.82,33815.24,33076.55,33673.11
17-March-2026,33799.53,34032.97,33599.90,33940.18
18-March-2026,34053.98,34443.52,34006.82,34329.13
19-March-2026,33659.89,33766.94,33145.03,33255.16
20-March-2026,33451.94,33775.86,33372.00,33423.61
23-March-2026,33072.74,33074.43,32306.13,32377.87
24-March-2026,33067.30,33188.10,32506.52,33009.57
25-March-2026,33294.50,33859.37,33275.50,33645.89
27-March-2026,33465.09,33471.04,32917.26,32935.19
30-March-2026,32490.07,32741.39,32121.51,32182.38
1-April-2026,33012.27,33149.42,32710.87,32814.97
2-April-2026,32444.29,32920.03,31965.51,32839.65
6-April-2026,32914.79,33265.91,32605.90,33229.93
7-April-2026,33105.88,33418.56,32870.99,33395.05
8-April-2026,34583.59,34722.95,34422.86,34690.59
9-April-2026,34646.89,34765.66,34379.59,34521.99
10-April-2026,34745.45,35027.91,34663.06,35004.96
13-April-2026,34290.51,34838.72,34174.75,34738.75
15-April-2026,35271.57,35439.21,35241.65,35394.87
16-April-2026,35668.04,35703.96,35290.88,35485.91
17-April-2026,35540.32,35836.64,35420.00,35820.15
20-April-2026,35896.68,36012.45,35583.94,35814.68
21-April-2026,35899.63,36132.13,35853.92,36091.30
22-April-2026,36024.94,36103.89,35909.55,36009.59
23-April-2026,35860.73,35959.18,35697.91,35729.71
24-April-2026,35725.62,35807.37,35201.71,35349.66
27-April-2026,35504.04,35797.70,35473.26,35751.09
28-April-2026,35749.81,35868.88,35603.45,35650.27
29-April-2026,35838.81,36058.09,35743.15,35811.60
30-April-2026,35653.53,35653.53,35237.96,35515.95
4-May-2026,35710.19,35936.50,35559.96,35741.67
5-May-2026,35712.99,35752.05,35494.19,35711.23
6-May-2026,35981.60,36235.34,35767.24,36211.89
